Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,PNLIP,0.005,0.833,0.586,0.0,0.004,Acinar cells,Endoderm,Pancreas,,pancreatic lipase,Y,flag
Hs,CTRB2,0.001,0.917,0.0,0.001,0.0,Acinar cells,Endoderm,Pancreas,,chymotrypsinogen B2,,flag
Mm Hs,PLA2G1B,0.007,0.833,0.229,0.002,0.006,Acinar cells,Endoderm,Pancreas,"PLA2,PPLA2,PLA2A",phospholipase A2 group IB,,flag
Mm Hs,PRSS2,0.01,1.0,0.7,0.01,0.007,Acinar cells,Endoderm,Pancreas,TRY2,serine protease 2,Y,flag
Mm Hs,CLPS,0.021,0.583,0.957,0.0,0.022,Acinar cells,Endoderm,Pancreas,,colipase,,flag
Hs,REG1A,0.005,1.0,0.0,0.027,0.0,Acinar cells,Endoderm,Pancreas,"PSPS,PSPS1,REG",regenerating family member 1 alpha,,flag
Mm Hs,SYCN,0.008,0.833,0.0,0.002,0.0,Acinar cells,Endoderm,Pancreas,"SYL,FLJ27441,INSSA1",syncollin,,flag
Mm Hs,PNLIPRP1,0.008,0.5,0.629,0.0,0.007,Acinar cells,Endoderm,Pancreas,PLRP1,pancreatic lipase related protein 1,,flag
Mm Hs,CTRC,0.003,0.833,0.414,0.0,0.001,Acinar cells,Endoderm,Pancreas,"CLCR,ELA4",chymotrypsin C,Y,flag
Mm Hs,REG3A,0.005,0.917,0.0,0.011,0.0,Acinar cells,Endoderm,Pancreas,"REG-III,REG3,PBCGF",regenerating family member 3 alpha,,flag
Hs,SERPINA3,0.0,0.0,0.0,0.0,0.0,Acinar cells,Endoderm,Pancreas,AACT,serpin family A member 3,,flag
Mm Hs,PRSS3,0.006,0.833,0.029,0.029,0.0,Acinar cells,Endoderm,Pancreas,"TRY4,PRSS4",serine protease 3,,flag
Hs,REG1B,0.002,0.917,0.0,0.011,0.0,Acinar cells,Endoderm,Pancreas,"PSPS2,REGH,REGI-BETA",regenerating family member 1 beta,,flag
Mm Hs,CFB,0.001,0.0,0.0,0.0,0.002,Acinar cells,Endoderm,Pancreas,"H2-Bf,BFD,BF",complement factor B,Y,flag
Mm Hs,GDF15,0.014,0.833,0.0,0.054,0.003,Acinar cells,Endoderm,Pancreas,"PLAB,MIC-1,PDF,NAG-1,PTGFB",growth differentiation factor 15,,flag
Mm Hs,MUC1,0.016,0.917,0.186,0.03,0.012,Acinar cells,Endoderm,Pancreas,"CD227,PEM,ADMCKD,ADMCKD1,MCKD,MCKD1","mucin 1, cell surface associated",Y,flag
Hs,C15ORF48,0.018,1.0,0.0,0.109,0.0,Acinar cells,Endoderm,Pancreas,"NMES1,MIR147BHG",chromosome 15 open reading frame 48,,flag
Mm Hs,DUOXA2,0.0,0.0,0.0,0.0,0.0,Acinar cells,Endoderm,Pancreas,,dual oxidase maturation factor 2,Y,flag
Hs,AKR1C3,0.007,1.0,0.0,0.039,0.0,Acinar cells,Endoderm,Pancreas,"KIAA0119,DDX,HAKRB,PGFS,HSD17B5",aldo-keto reductase family 1 member C3,,flag
Mm Hs,OLFM4,0.013,0.583,0.0,0.013,0.013,Acinar cells,Endoderm,Pancreas,"OlfD,GW112",olfactomedin 4,,flag
